"review_id","market_id","polymarket_event_id","condition_id","gamma_title","gamma_outcome_0","gamma_token_0","gamma_outcome_1","gamma_token_1","gamma_market_end_utc","clob_game_start_utc","best_of","leaguepedia_match_id","leaguepedia_start_utc","leaguepedia_team_1","leaguepedia_team_2","leaguepedia_team_1_outcome_index","start_delta_seconds","expected_status","manual_result","error_class","review_notes"
"38","3288217","786096","0xd123d80ef596b13218bd3d2bc0512bd642347218eb86341ddba34582d6e18e96","LoL: BNK FEARX vs Kiwoom DRX (BO3) - LCK Round 3-4 Rise Group","BNK FEARX","3366762806524584434041098243324349174341510985349766511955124526002048899688","Kiwoom DRX","46784611044402342286329702049053951620693044563173956950167470988583804793728","2026-08-09T17:00:00Z","2026-08-09T11:00:00Z","3","LCK/2026 Season/Rounds 3-4_Week 11_10","2026-08-09T10:00:00Z","BNK FEARX","Kiwoom DRX","0","3600","NeedsReview","correctly_escalated","start_time_conflict","same teams and BO; start differs 3600 seconds"
"39","3432020","818028","0xe4d158311238d1491c9a587da133dd1e6ff6b9b8aca5110839d73752f60e1c5f","LoL: Crystal Rose vs Lille Esport (BO1) - Nexus League Regular Season","Crystal Rose","94224159228867030901109415373750512766506527511649012749801226625021974110654","Lille Esport","56265853090321534194388861233525536297354104156112457718613834676810793167160","2026-08-09T16:00:00Z","2026-08-09T10:00:00Z","1","Nexus League/2026 Season/Summer Split_Week 4_6","2026-08-09T10:00:00Z","Crystal Rose (French Team)","Lille Esport","0","0","Matched","verified_correct","none","teams/BO/start verified; explicit alias"
"40","3286034","785704","0xbc8d6d2280e60953b0e89a0bd58279691c8fe17bcb0baa3656486e725350e9f3","LoL: ThunderTalk Gaming vs Top Esports (BO3) - LPL Group Ascend","ThunderTalk Gaming","27298687757729397315000183941895980377843459503493155624389517285739063381223","Top Esports","28246806272807385475359212337668662438574077035888650625591761821033218424548","2026-08-09T15:20:00Z","2026-08-09T09:20:00Z","3","LPL/2026 Season/Split 3_Week 3_13","2026-08-09T09:00:00Z","ThunderTalk Gaming","Top Esports","0","1200","NeedsReview","correctly_escalated","start_time_conflict","same teams and BO; start differs 1200 seconds"
"41","3396830","809987","0x80952755d011e85c7f25eda0653ae4daa32b26b0e4ace044ada13522c5a66117","LoL: CTBC Flying Oyster vs Ground Zero Gaming (BO5) - LCP Group Stage","CTBC Flying Oyster","112780195535507694605597836300723199506883738544741666643454890276883796657409","Ground Zero Gaming","94569230234205660360233426588349938699715601583197615391152814753500905746228","2026-08-09T15:00:00Z","2026-08-09T09:00:00Z","5","LCP/2026 Season/Split 3_Round 4_3","2026-08-09T09:00:00Z","CTBC Flying Oyster","Ground Zero Gaming","0","0","Matched","verified_correct","none","teams/BO/start verified; normalized identity"
"42","3287772","786085","0x110655c3a2be0c0831983b1d1e1f4ab884bb1c9e06cf21b3bb9944c71b6f11fc","LoL: Dplus KIA vs KT Rolster (BO3) - LCK Round 3-4 Legend Group","Dplus KIA","71554567140477701232236779715296312780126562489207472430244093936081845975202","KT Rolster","76827418119969205673693530819381375012618066744632162243218151845989530039956","2026-08-09T14:00:00Z","2026-08-09T08:00:00Z","3","LCK/2026 Season/Rounds 3-4_Week 11_9","2026-08-09T08:00:00Z","Dplus Kia","KT Rolster","0","0","Matched","verified_correct","none","teams/BO/start verified; normalized identity"
"43","3285997","785703","0xb491aa2ee6b53c31bbc9af91029adb7e4b9491cb1f840d919e8fdfd8f65eea50","LoL: Invictus Gaming vs LNG Esports (BO3) - LPL Group Nirvana","Invictus Gaming","102805211195745069287779043779723565093038396952394385556370743850336258665919","LNG Esports","91857974120847053793304834499327844630938652660473246247913411811566416438039","2026-08-09T13:00:00Z","2026-08-09T07:00:00Z","3","LPL/2026 Season/Split 3_Week 3_12","2026-08-09T07:00:00Z","Invictus Gaming","LNG Esports","0","0","Matched","verified_correct","none","teams/BO/start verified; normalized identity"
"44","3324694","794102","0xc2e7515e71aabb6b108322299ae3305d7cf0fe3e59ef9ab318cb6f435fe18e4e","LoL: Sentinels vs Shopify Rebellion (BO3) - LCS Regular Season","Sentinels","5454877822347168347734575043846142509265128556594720619987566767644707470518","Shopify Rebellion","99019540843050452778062958329408008231684918750054495389149341676067962448528","2026-08-09T04:40:00Z","2026-08-08T22:40:00Z","3","LCS/2026 Season/Summer Season_Week 3_2","2026-08-08T23:00:00Z","Sentinels","Shopify Rebellion","0","1200","NeedsReview","correctly_escalated","start_time_conflict","same teams and BO; start differs 1200 seconds"
"45","3324670","794094","0x1edcec2ad78a370044d233471e3845a57cc2fb6831d95fb7c26def95a0136228","LoL: Cloud9 vs Disguised (BO3) - LCS Regular Season","Cloud9","22184541291896058887140927268277536018792789086828268128873098680165958265341","Disguised","73553801957731148875474506695003401620596187494423625232131714118643337136498","2026-08-09T02:00:00Z","2026-08-08T20:00:00Z","3","LCS/2026 Season/Summer Season_Week 3_1","2026-08-08T20:00:00Z","Cloud9","Disguised","0","0","Matched","verified_correct","none","teams/BO/start verified; normalized identity"
"46","3355711","800208","0xcbd2d55d4f588f8bf3ee5df8d9cb89adac9d2f5cd103480cf44ab9c201e8ac35","LoL: Movistar KOI vs GIANTX (BO3) - LEC Regular Season","Movistar KOI","69823975649770544600529847338837408249328541219670989060079625543790404792302","GIANTX","32881438967411612273076673683463124920342521897711625199404634466412687474235","2026-08-09T00:00:00Z","2026-08-08T18:00:00Z","3","LEC/2026 Season/Summer Season_Week 3_4","2026-08-08T17:15:00Z","Movistar KOI","GIANTX","0","2700","NeedsReview","correctly_escalated","start_time_conflict","same teams and BO; start differs 2700 seconds"
"47","3370417","803533","0xae28060242f71c6bb98e1d2a9e8ece8dd7caed2a64787e15762c3153a2de2150","LoL: LOS vs Leviatan Esports (BO3) - CBLOL Regular Season","LOS","95767613127367387771834719555842808956533147464174740662133041474755861692949","Leviatan Esports","6407892238644555764322042674423181299697167019078977781571498816561786311498","2026-08-08T23:50:00Z","2026-08-08T17:50:00Z","3","CBLOL/2026 Season/Split 2_Week 3_4","2026-08-08T18:00:00Z","LØS","Leviatan","0","600","NeedsReview","correctly_escalated","start_time_conflict","same teams and BO; start differs 600 seconds"
"48","3408546","812638","0x485abcb83721b380c453f84ea400b6fbf181d7a979229e18a1318eb8ae4b3240","LoL: RED Canids vs paiN Gaming (BO3) - CBLOL Regular Season","RED Canids","94198854697871915048271966264790102105842344213803564772533757546456416441083","paiN Gaming","82615041018380579529601330297950631286922455177678523661297727044228071329979","2026-08-08T22:00:00Z","2026-08-08T16:00:00Z","3","CBLOL/2026 Season/Split 2_Week 3_3","2026-08-08T16:00:00Z","RED Canids","paiN Gaming","0","0","Matched","verified_correct","none","teams/BO/start verified; normalized identity"
"49","3355688","800207","0xa1e20947f0c60b8f0ffa6ead66ab04919a4745a30f080ad4742550a887b75abe","LoL: SK Gaming vs Natus Vincere (BO3) - LEC Regular Season","SK Gaming","74420691344583827851203095974883889957507759161768754481889737786457479861041","Natus Vincere","13566762161106176667745867485800890464439016521969245107503578097807382118977","2026-08-08T21:00:00Z","2026-08-08T15:00:00Z","3","LEC/2026 Season/Summer Season_Week 3_3","2026-08-08T15:00:00Z","SK Gaming","Natus Vincere","0","0","Matched","verified_correct","none","teams/BO/start verified; normalized identity"
"50","3410414","813092","0xc8e975d6209201d79bfc96ad05c7e5474e4d11a142d099be60f7add4dc273579","LoL: Caldya Esport vs Crystal Rose (BO1) - Nexus League Regular Season","Caldya Esport","73372026649245159242592787326872030359635097144103957725346480740382432639175","Crystal Rose","86765429812383831309417584519041936784392200516618929709720997365011199180863","2026-08-08T20:00:00Z","2026-08-08T14:00:00Z","1","Nexus League/2026 Season/Summer Split_Week 4_5","2026-08-08T14:00:00Z","Caldya Esport","Crystal Rose (French Team)","0","0","Matched","verified_correct","none","teams/BO/start verified; explicit alias"
