"review_id","market_id","mapping_status","gamma_title","decision_time_utc","history_window_start_utc","fidelity_minutes","outcome_0","outcome_0_point_count","outcome_0_last_point_utc","outcome_0_last_price","outcome_0_staleness_seconds","outcome_1","outcome_1_point_count","outcome_1_last_point_utc","outcome_1_last_price","outcome_1_staleness_seconds","historical_depth","historical_bid_ask","price_history","grade","grade_reason","outcome_0_source_sha256","outcome_1_source_sha256"
"33","3432048","Matched","LoL: Lausanne-Sport Esports vs Zephyr Esport (BO1) - Nexus League Regular Season","2026-08-09T13:45:00Z","2026-08-08T13:45:00Z","1","Lausanne-Sport Esports","911","2026-08-09T13:44:10Z","0.54","50","Zephyr Esport","911","2026-08-09T13:44:11Z","0.465","49","false","false","true","C","official t,p price history for both outcome tokens; no decision-time bid/ask or depth snapshot","ec992034257c9e70a7011c9d61fbf1c79332494f6ee446635e5092c8d8b91ceb","90b3f7ca7f834be6a2763c1064d15c616ec38e121eae9eebb3f144f90633c281"
"34","3432041","Matched","LoL: Galions Sharks vs Project Conquerors (BO1) - Nexus League Regular Season","2026-08-09T12:45:00Z","2026-08-08T12:45:00Z","1","Galions Sharks","848","2026-08-09T12:44:10Z","0.505","50","Project Conquerors","848","2026-08-09T12:44:09Z","0.495","51","false","false","true","C","official t,p price history for both outcome tokens; no decision-time bid/ask or depth snapshot","043f1fe5b45f0a3935e835499c06ab70db3bdf6f71e5ac306481c1fd8cca81c4","60065d7cc9d199e99a5f5b4f9fd01d39814f89504b8aaf73674cbd0177caa526"
"35","3432034","Matched","LoL: Ancient Ones vs Karmine Corp Blue Stars (BO1) - Nexus League Regular Season","2026-08-09T11:45:00Z","2026-08-08T11:45:00Z","1","Ancient Ones","802","2026-08-09T11:44:11Z","0.195","49","Karmine Corp Blue Stars","802","2026-08-09T11:44:11Z","0.805","49","false","false","true","C","official t,p price history for both outcome tokens; no decision-time bid/ask or depth snapshot","f79bcea60f016682fa2d7ca8fed6fba06be290a5acad10f4afa41238b3b3db4b","4679dd3cfa068ea85ee186d2b97eca657059b8329d8ea157ca929896d71ec6e5"
"36","3286091","NeedsReview","LoL: JD Gaming vs Team WE (BO3) - LPL Group Ascend","2026-08-09T11:15:00Z","2026-08-08T11:15:00Z","1","JD Gaming","1440","2026-08-09T11:14:10Z","0.605","50","Team WE","1440","2026-08-09T11:14:12Z","0.395","48","false","false","true","C","official t,p price history for both outcome tokens; no decision-time bid/ask or depth snapshot","47071e2735e0d2627d9078a824cd570530360a4c58deea7b8ff35e43630e5b95","d727b926bcec1d6b5aa01ceed0971dc32d7f0f2e914c2a7fa049f28bdfaec9c3"
"37","3432027","Matched","LoL: Team High Ground vs Caldya Esport (BO1) - Nexus League Regular Season","2026-08-09T10:45:00Z","2026-08-08T10:45:00Z","1","Team High Ground","742","2026-08-09T10:44:11Z","0.31","49","Caldya Esport","742","2026-08-09T10:44:10Z","0.69","50","false","false","true","C","official t,p price history for both outcome tokens; no decision-time bid/ask or depth snapshot","c98e9c40870c402af8bb9f3ea658ac23081270fdbc28a9590d7dddc12d387c81","60e09a5e1262610de0f0048bbb5e452a880ab65d2832c5a9e8bb82621e541fa9"
"38","3288217","NeedsReview","LoL: BNK FEARX vs Kiwoom DRX (BO3) - LCK Round 3-4 Rise Group","2026-08-09T10:45:00Z","2026-08-08T10:45:00Z","1","BNK FEARX","1440","2026-08-09T10:44:11Z","0.515","49","Kiwoom DRX","1440","2026-08-09T10:44:10Z","0.485","50","false","false","true","C","official t,p price history for both outcome tokens; no decision-time bid/ask or depth snapshot","6c31f392399d43cbbd21a0f4fefe85a3a9b7274107f3bc197d4ef8c41d13f243","c93e1df0385ada94c27480117d4b70cf4d4335d98549b3bc0c355b7eaed1f808"
"39","3432020","Matched","LoL: Crystal Rose vs Lille Esport (BO1) - Nexus League Regular Season","2026-08-09T09:45:00Z","2026-08-08T09:45:00Z","1","Crystal Rose","682","2026-08-09T09:44:10Z","0.435","50","Lille Esport","682","2026-08-09T09:44:10Z","0.565","50","false","false","true","C","official t,p price history for both outcome tokens; no decision-time bid/ask or depth snapshot","f3255821dcf4dbb2bfc82cb8e5809782fc044275239459421d54bea1196553f3","a338b1abb791108567c649ae0fd980548d2354f59946f9cd552a9e0e77b5d492"
"40","3286034","NeedsReview","LoL: ThunderTalk Gaming vs Top Esports (BO3) - LPL Group Ascend","2026-08-09T09:05:00Z","2026-08-08T09:05:00Z","1","ThunderTalk Gaming","1440","2026-08-09T09:04:09Z","0.235","51","Top Esports","1440","2026-08-09T09:04:11Z","0.765","49","false","false","true","C","official t,p price history for both outcome tokens; no decision-time bid/ask or depth snapshot","5ad16e475d342f236dec139d0b00b1ecf8a1c40eadf86cf623a6917c91788813","31ab7f07ec4e8f94c69f9ea33c29f259564e35532c05ef98e5ee24e1ebcfcbf3"
"41","3396830","Matched","LoL: CTBC Flying Oyster vs Ground Zero Gaming (BO5) - LCP Group Stage","2026-08-09T08:45:00Z","2026-08-08T08:45:00Z","1","CTBC Flying Oyster","1440","2026-08-09T08:44:09Z","0.625","51","Ground Zero Gaming","1440","2026-08-09T08:44:09Z","0.375","51","false","false","true","C","official t,p price history for both outcome tokens; no decision-time bid/ask or depth snapshot","5175360574725078b04131467e4d2780a9ba4399a8b5c5278d57cc67ee668ea5","0472a7d3ea1fb101affbfaa0f5a91f18c6892e21e0c5b6682adaf92f24a38068"
"42","3287772","Matched","LoL: Dplus KIA vs KT Rolster (BO3) - LCK Round 3-4 Legend Group","2026-08-09T07:45:00Z","2026-08-08T07:45:00Z","1","Dplus KIA","1440","2026-08-09T07:44:09Z","0.615","51","KT Rolster","1440","2026-08-09T07:44:10Z","0.385","50","false","false","true","C","official t,p price history for both outcome tokens; no decision-time bid/ask or depth snapshot","a67ef32e6dd6c0b3688d230ae0366061fe9822c2c50f21d24e497b60d41ec056","b451be0927e3b1420410066e55c9767c23e927148d60ed5ef03ba0ab0a07fd92"
"43","3285997","Matched","LoL: Invictus Gaming vs LNG Esports (BO3) - LPL Group Nirvana","2026-08-09T06:45:00Z","2026-08-08T06:45:00Z","1","Invictus Gaming","1440","2026-08-09T06:44:10Z","0.875","50","LNG Esports","1440","2026-08-09T06:44:11Z","0.125","49","false","false","true","C","official t,p price history for both outcome tokens; no decision-time bid/ask or depth snapshot","ef7ffc23ab308fef68d8939e497916e253f6773f1349b4b1ab4d0eb038a860c4","b50462b9f40b63f9d887daea7aa6599f261be13f09310fb874b0ebee1ea59439"
"44","3324694","NeedsReview","LoL: Sentinels vs Shopify Rebellion (BO3) - LCS Regular Season","2026-08-08T22:25:00Z","2026-08-07T22:25:00Z","1","Sentinels","1440","2026-08-08T22:24:08Z","0.735","52","Shopify Rebellion","1440","2026-08-08T22:24:09Z","0.265","51","false","false","true","C","official t,p price history for both outcome tokens; no decision-time bid/ask or depth snapshot","a3c1b6dcb9f858fcc55ea6a91ab6a207b5d1e5130aecd8b900a5d403ecdab2fb","91551a83173b0c58d76a8507af2dd4bf93a4a0a40b29148714e2868d31ee9bb1"
"45","3324670","Matched","LoL: Cloud9 vs Disguised (BO3) - LCS Regular Season","2026-08-08T19:45:00Z","2026-08-07T19:45:00Z","1","Cloud9","1440","2026-08-08T19:44:13Z","0.895","47","Disguised","1440","2026-08-08T19:44:11Z","0.105","49","false","false","true","C","official t,p price history for both outcome tokens; no decision-time bid/ask or depth snapshot","677a11f779926caed09b9e3fa061c8e7651d4d05c996e2bab50920c7808351ac","6c732d049ac4fe1abcb032f21cab2f4aec13dc2d908f73f2bc035851e32a2a41"
"46","3355711","NeedsReview","LoL: Movistar KOI vs GIANTX (BO3) - LEC Regular Season","2026-08-08T17:45:00Z","2026-08-07T17:45:00Z","1","Movistar KOI","1440","2026-08-08T17:44:11Z","0.725","49","GIANTX","1440","2026-08-08T17:44:10Z","0.275","50","false","false","true","C","official t,p price history for both outcome tokens; no decision-time bid/ask or depth snapshot","654b4f7665f6105d8a3c7a3e829b9dd28e9087998e516a2b5c9bc34ba60b3fa7","4e812ab140b1bd14eaa86c7cadd61794049650bd9a90625d5dbba8e8d18d5b11"
"47","3370417","NeedsReview","LoL: LOS vs Leviatan Esports (BO3) - CBLOL Regular Season","2026-08-08T17:35:00Z","2026-08-07T17:35:00Z","1","LOS","1440","2026-08-08T17:34:09Z","0.935","51","Leviatan Esports","1440","2026-08-08T17:34:11Z","0.065","49","false","false","true","C","official t,p price history for both outcome tokens; no decision-time bid/ask or depth snapshot","8847addda5df0346ab0f4e7f51b22b1e340a3a45be324c5f203977170b8ce616","ef85976926f85e38f18b5e318cf93e23e05d6db2b28c8db26342200b2ee1e296"
"48","3408546","Matched","LoL: RED Canids vs paiN Gaming (BO3) - CBLOL Regular Season","2026-08-08T15:45:00Z","2026-08-07T15:45:00Z","1","RED Canids","1161","2026-08-08T15:44:08Z","0.435","52","paiN Gaming","1161","2026-08-08T15:44:08Z","0.565","52","false","false","true","C","official t,p price history for both outcome tokens; no decision-time bid/ask or depth snapshot","50f3a0782d63d4a01f4800c7252ca2665bbdaaf73ec48da6363c30cae0923cea","55fe8171b702f39abef1c5936e5e172f8b6f722b296249dc68952eed6e39e35c"
"49","3355688","Matched","LoL: SK Gaming vs Natus Vincere (BO3) - LEC Regular Season","2026-08-08T14:45:00Z","2026-08-07T14:45:00Z","1","SK Gaming","1440","2026-08-08T14:44:11Z","0.365","49","Natus Vincere","1440","2026-08-08T14:44:11Z","0.635","49","false","false","true","C","official t,p price history for both outcome tokens; no decision-time bid/ask or depth snapshot","6d194234a0e52a2ee49207d3c5e126458ca0975633f7816e9ab63b496d1630b1","105490988a86fa0a731d2a639c9017aaafd763142e48b5fc84238559328b7fdd"
"50","3410414","Matched","LoL: Caldya Esport vs Crystal Rose (BO1) - Nexus League Regular Season","2026-08-08T13:45:00Z","2026-08-07T13:45:00Z","1","Caldya Esport","906","2026-08-08T13:44:10Z","0.725","50","Crystal Rose","906","2026-08-08T13:44:09Z","0.275","51","false","false","true","C","official t,p price history for both outcome tokens; no decision-time bid/ask or depth snapshot","29221bd81cf569bd53f5036a599ed58a0fcb5294ad67b7422d7b5e3c019048a7","2b2eed39487cd7ed49ede1c4c49822278d6cee699336ab61474d99bd2a6944d0"
